,T cell,Epithelial cell,B cell,Plasma cell,Mast cell,Macrophage/Monocyte,NK cell,Neutrophils,cDC,pDC,Endothelial cell,Stromal
Chen_Zhang_2020_NSCLC-1,0.17287889,0.052647322,0.22151181,0.08295618,0.04842879,0.05177205,0.06755159,0.033921253,0.059923097,0.062047843,0.09975613,0.046605024
Chen_Zhang_2020_NSCLC-2,0.22606055,0.060432065,0.0983279,0.091686785,0.07338878,0.063830405,0.06703518,0.03226248,0.069444634,0.05314105,0.047988933,0.1164013
Chen_Zhang_2020_NSCLC-3,0.3213426,0.05288946,0.09440168,0.10110504,0.050546285,0.057049174,0.06201879,0.041971058,0.06262424,0.05888046,0.051860906,0.045310393
Chen_Zhang_2020_NSCLC-4,0.3671951,0.050833024,0.08320165,0.08057016,0.04123632,0.04884166,0.078567386,0.033751067,0.05066012,0.08735457,0.03566811,0.042120762
Chen_Zhang_2020_NSCLC-5,0.32457507,0.059395656,0.10700149,0.079560764,0.0378348,0.048865285,0.10467893,0.037838865,0.05101945,0.08101852,0.03523498,0.03297626
Chen_Zhang_2020_NSCLC-6,0.12640463,0.07103705,0.06180856,0.06529477,0.04388811,0.2732549,0.05812435,0.0407109,0.12574059,0.05749074,0.043246053,0.032999367
Chen_Zhang_2020_NSCLC-7,0.12211755,0.053612944,0.14816715,0.060172327,0.040024232,0.20948468,0.060367145,0.07713253,0.093324296,0.05007912,0.04376595,0.041752137
Chen_Zhang_2020_NSCLC-8,0.089651644,0.22140904,0.055852506,0.04820235,0.046694215,0.16911565,0.054609746,0.03907949,0.15786473,0.045144524,0.042046238,0.030329894
Chen_Zhang_2020_NSCLC-9,0.0649393,0.43593708,0.062296174,0.058781818,0.051882107,0.05739155,0.0336908,0.040633682,0.054992754,0.05638661,0.044216134,0.038851928
Chen_Zhang_2020_NSCLC-10,0.29098865,0.12492735,0.07786974,0.08720859,0.047127914,0.07028214,0.0746838,0.035117142,0.06416661,0.056108978,0.04112781,0.030391375
Chen_Zhang_2020_NSCLC-11,0.14598511,0.06517169,0.06412338,0.1826003,0.07523845,0.13234311,0.061481066,0.05704624,0.061941188,0.046913657,0.04502933,0.062126473
Goveia_Carmeliet_2020_patient_32_tumor_primary,0.048957694,0.05941367,0.05385896,0.04752131,0.0377484,0.051193763,0.031445947,0.03332314,0.04756172,0.05445894,0.4515609,0.08295553
Goveia_Carmeliet_2020_patient_40_normal_adjacent,0.061013497,0.055627998,0.059793692,0.049380306,0.049469374,0.26427475,0.060580693,0.0440902,0.05973824,0.04401472,0.21204162,0.0399749
Goveia_Carmeliet_2020_patient_40_tumor_primary,0.069064096,0.08424506,0.056734476,0.055610172,0.039139103,0.12544078,0.08703045,0.033531096,0.053838547,0.05237843,0.29922768,0.043760207
Goveia_Carmeliet_2020_patient_41_normal_adjacent,0.060302205,0.057241622,0.05397462,0.0484258,0.05461448,0.32740226,0.05987563,0.038813926,0.06329843,0.044280943,0.15195793,0.039812136
Goveia_Carmeliet_2020_patient_41_tumor_primary,0.0633588,0.21336249,0.047234166,0.045269776,0.04157388,0.06326216,0.06288281,0.033546794,0.05065194,0.05597852,0.22624673,0.09663184
Goveia_Carmeliet_2020_patient_42_normal_adjacent,0.080492005,0.061515633,0.05454923,0.051418014,0.04734513,0.23511052,0.06637984,0.044652052,0.070247985,0.04698412,0.198916,0.042389482
Goveia_Carmeliet_2020_patient_42_tumor_primary,0.080369875,0.04784016,0.05947392,0.06292471,0.050525986,0.2683191,0.058921512,0.047781706,0.09959423,0.11543047,0.055720314,0.053098015
Goveia_Carmeliet_2020_patient_45_normal_adjacent,0.06043422,0.067059666,0.056916818,0.051278803,0.052212518,0.31177697,0.043927263,0.040410288,0.064632654,0.051723346,0.15804376,0.04158377
Goveia_Carmeliet_2020_patient_45_tumor_primary,0.051883645,0.189575,0.050347354,0.05102903,0.034355406,0.07680607,0.04962549,0.034049828,0.056479007,0.055222414,0.27713034,0.07349638
Goveia_Carmeliet_2020_patient_46_normal_adjacent,0.051955357,0.10461279,0.05809114,0.053578,0.052758846,0.31691316,0.043629654,0.038959205,0.064885564,0.043723773,0.12511906,0.04577343
Goveia_Carmeliet_2020_patient_46_tumor_primary,0.048157517,0.30870882,0.04667226,0.06371173,0.04319456,0.04666114,0.038244046,0.029826416,0.04838539,0.046741825,0.19087408,0.08882232
Goveia_Carmeliet_2020_patient_50_normal_adjacent,0.06440773,0.05830782,0.048983116,0.066512026,0.083825015,0.2611513,0.05860172,0.036475822,0.06447287,0.04472258,0.17052461,0.042015333
Goveia_Carmeliet_2020_patient_50_tumor_primary,0.050176583,0.18958376,0.045030046,0.048493072,0.046865255,0.09796956,0.039416954,0.03491842,0.061020676,0.04442635,0.25068974,0.09140954
